LSID,Sample Type,Project,Destination,UKB Dispatch Date,Child Sample Type,Extraction Method,Child LSID,Child Volume,Child Concentration,RIN,Average Fragment Size,OD Ratio,QC Status,Returned to UKB,Child Sample Destroyed
1025547270,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 1,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025549320,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 1,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025549738,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 1,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025549764,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 1,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546080,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 2,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546146,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 2,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546689,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 2,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546889,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 2,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546185,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 3,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546323,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 3,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546383,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 3,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546623,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 3,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025545967,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 4,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546125,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 4,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546312,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 4,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546437,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 4,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546055,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 5,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546120,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 5,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546386,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 5,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546408,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 5,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025545974,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 6,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546390,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 6,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546574,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 6,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1025546770,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 6,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334096,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 7,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334125,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 7,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334478,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 7,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028336181,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 7,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334015,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 8,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335552,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 8,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335881,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 8,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335963,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 8,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028332597,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 9,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028332604,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 9,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028332940,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 9,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028333004,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 9,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334652,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 10,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334908,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 10,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335039,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 10,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335099,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 10,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334648,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 11,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334801,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 11,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334991,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 11,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335280,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 11,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334757,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 12,N/A,N/A,N/A,N/A,N/A,Fail,No,Yes
1028334981,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 12,N/A,N/A,N/A,N/A,N/A,Fail,No,Yes
1028335362,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 12,N/A,N/A,N/A,N/A,N/A,Fail,No,Yes
1028335409,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 12,N/A,N/A,N/A,N/A,N/A,Fail,No,Yes
1028334658,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 13,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334739,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 13,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334780,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 13,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334982,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 13,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334806,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 14,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335159,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 14,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335212,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 14,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335279,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 14,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028334651,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 15,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335155,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 15,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335256,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 15,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028335347,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 15,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155371,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 16,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156419,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 16,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156700,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 16,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028156774,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 16,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028154943,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 17,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
1028155305,EDTA plasma,ctDNA Pilot Phase 1,University of Leicester,11/12/2017,ctDNA,QIAamp Circulating Nucleic Acid Kit , GEL 17,N/A,N/A,N/A,N/A,N/A,Pass,No,Yes
